嚴重性	程式碼	說明	專案	檔案	行	歸併狀態
錯誤 (作用中)	CS0103	名稱 'OnPropertyChanged' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	29	
錯誤 (作用中)	NETSDK1064	找不到套件 CommunityToolkit.Mvvm，版本 8.4.0。該套件可能因 NuGet restore 還原而刪除，或是可能因為路徑長度上限的限制，而讓 NuGet restore 可能只有部分完成所致。	AnimeFolderOrganizer	C:\Program Files\dotnet\sdk\10.0.102\Sdks\Microsoft.NET.Sdk\targets\Microsoft.PackageDependencyResolution.targets	266	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'CommunityToolkit' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	1	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservableObject' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	13	
錯誤 (作用中)	CS0103	名稱 'SetProperty' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	25	
錯誤 (作用中)	CS0103	名稱 'OnPropertyChanged' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	27	
錯誤 (作用中)	CS0103	名稱 'OnPropertyChanged' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	28	
錯誤 (作用中)	CS0103	名稱 'OnPropertyChanged' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	30	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservablePropertyAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	39	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservableProperty' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	39	
